      tokens,        wires,    subscribers,  subscriptions,                       username,     verified
        3999,          148,           8239,          13626,                  toiacvietcong,            1
        2639,          187,           1220,           3133,                      culoc2002,            0
        2445,           54,           2616,           1469,                    TrangGiaBao,            1
        2434,           24,           1325,           6928,                      Tan709733,            0
        2314,           62,           2165,           3172,         PhapLuanDaiPhapVietNam,            1
        2001,            4,           1001,            968,           NguoiVanChuyen709733,            0
        1988,           70,           1261,           4364,           NguoiVanChuyen733709,            0
        1888,            8,           4110,           8888,                       Cuuvuive,            0
        1796,           39,          20010,            362,             anonofficialdotcom,            1
        1530,           18,           4242,           7750,                  daikynguyentv,            1
        1507,          129,           7269,            265,                  DaiKyNguyenvn,            1
        1432,           37,           1215,           4696,                      Eva_huynh,            0
        1403,           63,           2477,           8550,                    lebaonhi992,            0
        1245,          232,           1892,           2570,                       Tenkengo,            0
        1211,           13,            734,             27,                       ricanare,            1
        1209,           58,           6202,          18750,                    namgiangnet,            1
        1073,            4,           1311,           1140,                 thanhnguyenpro,            0
        1071,            5,           2994,           2505,                        muabuon,            0
        1065,           17,           2958,           2502,                         RONIN1,            0
        1061,            8,           1813,           2701,                          TheBL,            1
        1029,           65,           1170,          12125,                          toiac,            0
        1004,           74,           1202,           4860,                           BeXi,            0
        1003,           93,           1095,           3581,                        TinhLam,            0
        1000,            1,            706,          14616,                   muabantokens,            0
         990,           97,           1450,           3523,                      ThuThuy90,            0
         986,           74,           1318,           6249,                congtyxnkanhloc,            0
         982,           87,           1183,          10152,                        HaiLang,            0
         887,           66,           2469,          29399,               Nguyenchaunature,            0
         661,            6,            555,            368,                   CalebStroman,            0
         595,           52,            512,           5412,                      quananh87,            0
         518,           23,           2341,           7763,                 nguyentuan0780,            0
         505,           16,           2649,           2790,                        jemeyou,            1
         501,            3,           4114,           7428,                          JQnet,            1
         501,            2,            919,            229,                    PizzaCreepa,            0
         497,           27,           1549,           7236,                     lytrantien,            0
         442,           47,           3505,          28498,                 thangnhung8086,            0
         380,            2,           1666,           2834,                       trangvnn,            1
         358,           20,           3828,          21007,                     Tomnyvuong,            0
         315,           16,           4544,           5767,                         HoViet,            1
         288,           32,           6603,            792,                        tstjohn,            1
         284,          126,           9674,          84641,                         JamesN,            0
         278,           30,           4549,          31101,                       Banh2703,            0
         249,           27,           2389,           3212,                      vuduckhai,            1
         234,           23,          19318,             26,                       Luculent,            1
         229,           75,           4670,           5142,                     tomtomandt,            1
         214,           27,           1105,            554,                      Saboromen,            0
         206,           40,           1861,           4203,                         VCuong,            0
         186,           13,            160,            103,                     Duyanhdoan,            0
         158,           80,           5488,          14961,                 Willieleev1971,            1
         157,           39,           3933,          24869,                    Rushofwaves,            0
         146,           24,          36122,           1386,                    MindsGaming,            1
         141,            3,           4648,            105,                  Truongphihung,            1
         135,           31,           4732,            831,                    Americanpie,            0
         132,            7,           2433,           8658,                        Sudauto,            0
         129,           65,           7027,           6445,                      delastman,            0
         127,           41,           1941,           1009,                       Ngotrang,            0
         125,            7,           3646,           1391,                      BdamSmart,            0
         123,           41,           2185,            333,                         Pnut68,            0
         122,           19,           2148,           3823,                      Happygirl,            0
         115,           21,            979,           4237,                     congbaofgs,            0
